City,Country,City Number,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Gijang,KR,1842966,35.24,129.21,53.6,71,0,4.7
Port-Cartier,CA,6111696,50.03,-66.87,33.26,94,97,2.24
Alta Floresta,BR,6316343,-9.88,-56.09,76.14,81,94,2.26
Sulangan,PH,1685422,11.14,123.72,83.17,78,82,10.42
Niigata,JP,1855431,37.9,139.02,48.2,70,0,8.05
Winnemucca,US,5710360,40.97,-117.74,42.8,48,90,6.93
Sri Aman,MY,1735799,1.24,111.46,73.2,94,40,2.24
Scarborough,GB,2638419,54.28,-0.4,49.6,85,0,5.01
Vila Velha,BR,3445026,-20.33,-40.29,77.0,94,0,8.05
Ürümqi,CN,1529102,43.8,87.6,33.8,69,0,4.47
Stann Creek Town,BZ,3582228,16.97,-88.23,79.38,88,20,3.36
Muros,ES,3115824,42.78,-9.06,60.08,93,75,12.75
Wajima,JP,1848976,37.4,136.9,53.6,81,40,4.7
Aripuanã,BR,3665202,-9.17,-60.63,76.87,81,0,1.01
Okha,RU,2122614,53.57,142.95,31.51,97,100,16.31
Zhezkazgan,KZ,1516589,47.8,67.71,21.31,94,100,13.31
Kalispell,US,5660340,48.2,-114.31,32.95,64,90,8.05
Codrington,AU,2171099,-38.27,141.97,75.27,55,0,24.92
Prince Rupert,CA,6113406,54.32,-130.32,42.8,56,90,10.29
Churapcha,RU,2025241,62.0,132.43,5.92,94,100,6.73
Haines Junction,CA,5969025,60.75,-137.51,8.6,84,94,1.21
Abashiri,JP,2130741,44.02,144.27,41.07,64,0,3.36
North Bend,US,5742974,43.41,-124.22,51.93,76,90,18.34
Santa Maria,BR,3450083,-29.68,-53.81,80.6,54,0,4.7
Bilibino,RU,2126682,68.05,166.44,-8.9,82,48,3.42
Cabra,ES,2520645,37.47,-4.44,59.0,85,5,2.24
Lagos,NG,2332453,6.58,3.75,77.29,91,5,3.29
Acapulco de Juárez,MX,3533462,16.86,-99.89,82.4,78,20,3.36
Saint-Leu,RE,6690297,-21.15,55.28,67.21,68,75,5.82
Goderich,CA,5962442,43.75,-81.72,37.4,59,0,11.41
Sørland,NO,3137469,67.67,12.69,45.99,84,100,34.61
Bogovina,RS,792502,43.9,21.94,41.0,7,41,0.89
Puerto Escondido,MX,3520994,15.85,-97.07,82.4,69,40,5.82
San Rafael,AR,3836669,-34.62,-68.33,63.3,46,0,8.77
Balaka,MW,931865,-14.98,34.96,69.51,52,0,2.1
Gobabis,NA,3357247,-22.45,18.97,68.0,72,100,2.24
Velsk,RU,475938,61.07,42.1,32.14,97,98,2.75
Geraldton,AU,2070998,-28.77,114.6,68.0,40,75,12.75
Ampanihy,MG,1078553,-24.7,44.75,62.8,71,0,11.9
Port Hardy,CA,6111862,50.7,-127.42,41.7,86,90,27.51
Graaff-Reinet,ZA,1000543,-32.25,24.53,57.0,87,19,1.99
Bitung,ID,1648636,1.45,125.18,84.2,74,20,3.36
Ancud,CL,3899695,-41.87,-73.82,45.9,61,20,10.29
Nabire,ID,1634614,-3.37,135.48,87.84,56,11,3.8
Predivinsk,RU,1494237,57.07,93.44,15.98,94,0,0.92
Kiboga,UG,231550,0.92,31.77,61.79,98,0,1.92
Neiafu,TO,4032420,-18.65,-173.98,82.4,74,20,9.17
Manacapuru,BR,3663529,-3.3,-60.62,80.6,88,20,3.69
Yeppoon,AU,2142316,-23.13,150.73,89.6,52,40,5.82
Kimberley,ZA,990930,-28.73,24.76,69.8,56,0,6.93
